OBD_Code,Description,Category,Severity,Fault_Description,Work_Required,Severity_Level,Primary_System
P0001,Fuel Volume Regulator A Control Circuit/Open,Fuel and Air Metering,Medium,Fuel Volume Regulator A Control Circuit/Open,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0002,Fuel Volume Regulator A Control Circuit Performance,Fuel and Air Metering,Medium,Fuel Volume Regulator A Control Circuit Performance,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0003,Fuel Volume Regulator A Control Circuit Low,Fuel and Air Metering,Medium,Fuel Volume Regulator A Control Circuit Low,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0004,Fuel Volume Regulator A Control Circuit High,Fuel and Air Metering,Medium,Fuel Volume Regulator A Control Circuit High,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0005,Fuel Shutoff Valve A Control Circuit/Open,Fuel and Air Metering,Medium,Fuel Shutoff Valve A Control Circuit/Open,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0006,Fuel Shutoff Valve A Control Circuit Low,Fuel and Air Metering,Medium,Fuel Shutoff Valve A Control Circuit Low,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0007,Fuel Shutoff Valve A Control Circuit High,Fuel and Air Metering,Medium,Fuel Shutoff Valve A Control Circuit High,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0008,Engine Position System Performance Bank 1,Fuel and Air Metering,Medium,Engine Position System Performance Bank 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P0009,Engine Position System Performance Bank 2,Fuel and Air Metering,Medium,Engine Position System Performance Bank 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P000A,A Camshaft Position Slow Response Bank 1,Fuel and Air Metering,Medium,A Camshaft Position Slow Response Bank 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
P000B,B Camshaft Position Slow Response Bank 1,Fuel and Air Metering,Medium,B Camshaft Position Slow Response Bank 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit.",2,Fuel and Air Metering
