OBD_Code,Description,Description_Length,Prefix
P0001,Fuel Volume Regulator A Control Circuit/Open,44,P0
P0002,Fuel Volume Regulator A Control Circuit Performance,51,P0
P0003,Fuel Volume Regulator A Control Circuit Low,43,P0
P0004,Fuel Volume Regulator A Control Circuit High,44,P0
P0005,Fuel Shutoff Valve A Control Circuit/Open,41,P0
P0006,Fuel Shutoff Valve A Control Circuit Low,40,P0
P0007,Fuel Shutoff Valve A Control Circuit High,41,P0
P0008,Engine Position System Performance Bank 1,41,P0
P0009,Engine Position System Performance Bank 2,41,P0
P000A,A Camshaft Position Slow Response Bank 1,40,P0
P000B,B Camshaft Position Slow Response Bank 1,40,P0
P000C,A Camshaft Position Slow Response Bank 2,40,P0
P000D,B Camshaft Position Slow Response Bank 2,40,P0
P000E,Fuel Volume Regulator Control Exceeded Learning Limit,53,P0
P000F,Fuel System Over Pressure Relief Valve Activated,48,P0
P0010,A Camshaft Position Actuator A Control Circuit/Open Bank 1,58,P0
P0011,A Camshaft Position - Timing Over-Advanced or System Performance Bank 1,71,P0
P0012,A Camshaft Position - Timing Over-Retarded Bank 1,49,P0
P0013,B Camshaft Position Actuator A Control Circuit/Open Bank 1,58,P0
P0014,B Camshaft Position - Timing Over-Advanced or System Performance Bank 1,71,P0
P0015,B Camshaft Position - Timing Over-Retarded Bank 1,49,P0
P0016,Crankshaft Position - Camshaft Position Correlation Bank 1 Sensor A,67,P0
P0017,Crankshaft Position - Camshaft Position Correlation Bank 1 Sensor B,67,P0
P0018,Crankshaft Position - Camshaft Position Correlation Bank 2 Sensor A,67,P0
P0019,Crankshaft Position - Camshaft Position Correlation Bank 2 Sensor B,67,P0
P001A,A Camshaft Profile Actuator A Control Circuit/Open Bank 1,57,P0
P001B,A Camshaft Profile Actuator A Control Circuit Low Bank 1,56,P0
P001C,A Camshaft Profile Actuator A Control Circuit High Bank 1,57,P0
P001D,A Camshaft Profile Actuator A Control Circuit/Open Bank 2,57,P0
P001E,A Camshaft Profile Actuator A Control Circuit Low Bank 2,56,P0
P001F,A Camshaft Profile Actuator A Control Circuit High Bank 2,57,P0
P0020,A Camshaft Position Actuator A Control Circuit/Open Bank 2,58,P0
P0021,A Camshaft Position - Timing Over-Advanced or System Performance Bank 2,71,P0
P0022,A Camshaft Position - Timing Over-Retarded Bank 2,49,P0
P0023,B Camshaft Position Actuator A Control Circuit/Open Bank 2,58,P0
P0024,B Camshaft Position - Timing Over-Advanced or System Performance Bank 2,71,P0
P0025,B Camshaft Position - Timing Over-Retarded Bank 2,49,P0
P0026,Intake Valve Control Solenoid Circuit Range/Performance Bank 1,62,P0
P0027,Exhaust Valve Control Solenoid Circuit Range/Performance Bank 1,63,P0
P0028,Intake Valve Control Solenoid Circuit Range/Performance Bank 2,62,P0
P0029,Exhaust Valve Control Solenoid Circuit Range/Performance Bank 2,63,P0
P002A,B Camshaft Profile Actuator A Control Circuit/Open Bank 1,57,P0
P002B,B Camshaft Profile Actuator A Control Circuit Low Bank 1,56,P0
P002C,B Camshaft Profile Actuator A Control Circuit High Bank 1,57,P0
P002D,B Camshaft Profile Actuator A Control Circuit/Open Bank 2,57,P0
P002E,B Camshaft Profile Actuator A Control Circuit Low Bank 2,56,P0
P002F,B Camshaft Profile Actuator A Control Circuit High Bank 2,57,P0
P0030,HO2S Heater Control Circuit Bank 1 Sensor 1,43,P0
P0031,HO2S Heater Control Circuit Low Bank 1 Sensor 1,47,P0
P0032,HO2S Heater Control Circuit High Bank 1 Sensor 1,48,P0
P0033,Turbocharger/Supercharger Bypass Valve A Control Circuit,56,P0
P0034,Turbocharger/Supercharger Bypass Valve A Control Circuit Low,60,P0
P0035,Turbocharger/Supercharger Bypass Valve A Control Circuit High,61,P0
P0036,HO2S Heater Control Circuit Bank 1 Sensor 2,43,P0
P0037,HO2S Heater Control Circuit Low Bank 1 Sensor 2,47,P0
P0038,HO2S Heater Control Circuit High Bank 1 Sensor 2,48,P0
P0039,Turbocharger/Supercharger Bypass Valve A Control Circuit Range/Performance,74,P0
P003A,Turbocharger/Supercharger Boost Control A Position Exceeded Learning Limit,74,P0
P003B,Turbocharger/Supercharger Boost Control B Position Exceeded Learning Limit,74,P0
P003C,A Camshaft Profile Actuator A Control Performance/Stuck Off Bank 1,66,P0
P003D,A Camshaft Profile Actuator A Control Stuck On Bank 1,53,P0
P003E,A Camshaft Profile Actuator A Control Performance/Stuck Off Bank 2,66,P0
P003F,A Camshaft Profile Actuator A Control Stuck On Bank 2,53,P0
P0040,O2 Sensor Signals Swapped Bank 1 Sensor 1/Bank 2 Sensor 1,57,P0
P0041,O2 Sensor Signals Swapped Bank 1 Sensor 2/Bank 2 Sensor 2,57,P0
P0042,HO2S Heater Control Circuit Bank 1 Sensor 3,43,P0
P0043,HO2S Heater Control Circuit Low Bank 1 Sensor 3,47,P0
P0044,HO2S Heater Control Circuit High Bank 1 Sensor 3,48,P0
P0045,Turbocharger/Supercharger Boost Control A Circuit/Open,54,P0
P0046,Turbocharger/Supercharger Boost Control A Circuit Range/Performance,67,P0
P0047,Turbocharger/Supercharger Boost Control A Circuit Low,53,P0
P0048,Turbocharger/Supercharger Boost Control A Circuit High,54,P0
P0049,Turbocharger/Supercharger A Turbine Overspeed,45,P0
P004A,Turbocharger/Supercharger Boost Control B Circuit/Open,54,P0
P004B,Turbocharger/Supercharger Boost Control B Circuit Range/Performance,67,P0
P004C,Turbocharger/Supercharger Boost Control B Circuit Low,53,P0
P004D,Turbocharger/Supercharger Boost Control B Circuit High,54,P0
P004E,Turbocharger/Supercharger Boost Control A Circuit Intermittent/Erratic,70,P0
P004F,Turbocharger/Supercharger Boost Control B Circuit Intermittent/Erratic,70,P0
P0050,HO2S Heater Control Circuit Bank 2 Sensor 1,43,P0
P0051,HO2S Heater Control Circuit Low Bank 2 Sensor 1,47,P0
P0052,HO2S Heater Control Circuit High Bank 2 Sensor 1,48,P0
P0053,HO2S Heater Resistance Bank 1 Sensor 1,38,P0
P0054,HO2S Heater Resistance Bank 1 Sensor 2,38,P0
P0055,HO2S Heater Resistance Bank 1 Sensor 3,38,P0
P0056,HO2S Heater Control Circuit Bank 2 Sensor 2,43,P0
P0057,HO2S Heater Control Circuit Low Bank 2 Sensor 2,47,P0
P0058,HO2S Heater Control Circuit High Bank 2 Sensor 2,48,P0
P0059,HO2S Heater Resistance Bank 2 Sensor 1,38,P0
P005A,B Camshaft Profile Actuator A Control Performance/Stuck Off Bank 1,66,P0
P005B,B Camshaft Profile Actuator A Control Stuck On Bank 1,53,P0
P005C,B Camshaft Profile Actuator A Control Performance/Stuck Off Bank 2,66,P0
P005D,B Camshaft Profile Actuator A Control Stuck On Bank 2,53,P0
P005E,Turbocharger/Supercharger Boost Control B Supply Voltage Circuit Low,68,P0
P005F,Turbocharger/Supercharger Boost Control B Supply Voltage Circuit High,69,P0
P0060,HO2S Heater Resistance Bank 2 Sensor 2,38,P0
P0061,HO2S Heater Resistance Bank 2 Sensor 3,38,P0
P0062,HO2S Heater Control Circuit Bank 2 Sensor 3,43,P0
P0063,HO2S Heater Control Circuit Low Bank 2 Sensor 3,47,P0
P0064,HO2S Heater Control Circuit High Bank 2 Sensor 3,48,P0
P0065,Air Assisted Injector Control Range/Performance,47,P0
P0066,Air Assisted Injector Control Circuit Low,41,P0
P0067,Air Assisted Injector Control Circuit High,42,P0
P0068,MAP/MAF - Throttle Position Correlation,39,P0
P0069,Manifold Absolute Pressure - Barometric Pressure Correlation,60,P0
P006A,MAP - Mass or Volume Air Flow Correlation Bank 1,48,P0
P006B,MAP - Exhaust Pressure Correlation,34,P0
P006C,MAP - Turbocharger/Supercharger Inlet Pressure Correlation,58,P0
P006D,Barometric Pressure - Turbocharger/Supercharger Inlet Pressure Correlation Bank 1,81,P0
P006E,Turbocharger/Supercharger Boost Control A Supply Voltage Circuit Low,68,P0
P006F,Turbocharger/Supercharger Boost Control A Supply Voltage Circuit High,69,P0
P0070,Ambient Air Temperature Sensor Circuit A,40,P0
P0071,Ambient Air Temperature Sensor Circuit A Range/Performance,58,P0
P0072,Ambient Air Temperature Sensor Circuit A Low,44,P0
P0073,Ambient Air Temperature Sensor Circuit A High,45,P0
P0074,Ambient Air Temperature Sensor Circuit A Intermittent/Erratic,61,P0
P0075,Intake Valve Control Solenoid Circuit Bank 1,44,P0
P0076,Intake Valve Control Solenoid Circuit Low Bank 1,48,P0
P0077,Intake Valve Control Solenoid Circuit High Bank 1,49,P0
P0078,Exhaust Valve Control Solenoid Circuit Bank 1,45,P0
P0079,Exhaust Valve Control Solenoid Circuit Low Bank 1,49,P0
P007A,Charge Air Cooler Temperature Sensor Circuit Bank 1,51,P0
P007B,Charge Air Cooler Temperature Sensor Circuit Range/Performance Bank 1,69,P0
P007C,Charge Air Cooler Temperature Sensor Circuit Low Bank 1,55,P0
P007D,Charge Air Cooler Temperature Sensor Circuit High Bank 1,56,P0
P007E,Charge Air Cooler Temperature Sensor Circuit Intermittent/Erratic Bank 1,72,P0
P007F,Charge Air Cooler Temperature Sensor Bank1/Bank2 Correlation,60,P0
P0080,Exhaust Valve Control Solenoid Circuit High Bank 1,50,P0
P0081,Intake Valve Control Solenoid Circuit Bank 2,44,P0
P0082,Intake Valve Control Solenoid Circuit Low Bank 2,48,P0
P0083,Intake Valve Control Solenoid Circuit High Bank 2,49,P0
P0084,Exhaust Valve Control Solenoid Circuit Bank 2,45,P0
P0085,Exhaust Valve Control Solenoid Circuit Low Bank 2,49,P0
P0086,Exhaust Valve Control Solenoid Circuit High Bank 2,50,P0
P0087,Fuel Rail/System Pressure - Too Low Bank 1,42,P0
P0088,Fuel Rail/System Pressure - Too High Bank 1,43,P0
P0089,Fuel Pressure Regulator A Performance,37,P0
P008A,Low Pressure Fuel System Pressure - Too Low,43,P0
P008B,Low Pressure Fuel System Pressure - Too High,44,P0
P008C,Fuel Cooler Pump Control Circuit/Open,37,P0
P008D,Fuel Cooler Pump Control Circuit Low,36,P0
P008E,Fuel Cooler Pump Control Circuit High,37,P0
P008F,Engine Coolant Temperature/Fuel Temperature Correlation,55,P0
P0090,Fuel Pressure Regulator A Control Circuit/Open,46,P0
P0091,Fuel Pressure Regulator A Control Circuit Low,45,P0
P0092,Fuel Pressure Regulator A Control Circuit High,46,P0
P0093,Fuel System Leak Detected - Large Leak,38,P0
P0094,Fuel System Leak Detected - Small Leak,38,P0
P0095,Intake Air Temperature Sensor 2 Circuit Bank 1,46,P0
