OBD_Code,Description,Category,Severity,Fault_Description,Work_Required
P0001,Fuel Volume Regulator A Control Circuit/Open,Fuel and Air Metering,Medium,Fuel Volume Regulator A Control Circuit/Open,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0002,Fuel Volume Regulator A Control Circuit Performance,Fuel and Air Metering,Medium,Fuel Volume Regulator A Control Circuit Performance,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0003,Fuel Volume Regulator A Control Circuit Low,Fuel and Air Metering,Medium,Fuel Volume Regulator A Control Circuit Low,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0004,Fuel Volume Regulator A Control Circuit High,Fuel and Air Metering,Medium,Fuel Volume Regulator A Control Circuit High,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0005,Fuel Shutoff Valve A Control Circuit/Open,Fuel and Air Metering,Medium,Fuel Shutoff Valve A Control Circuit/Open,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0006,Fuel Shutoff Valve A Control Circuit Low,Fuel and Air Metering,Medium,Fuel Shutoff Valve A Control Circuit Low,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0007,Fuel Shutoff Valve A Control Circuit High,Fuel and Air Metering,Medium,Fuel Shutoff Valve A Control Circuit High,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0008,Engine Position System Performance Bank 1,Fuel and Air Metering,Medium,Engine Position System Performance Bank 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0009,Engine Position System Performance Bank 2,Fuel and Air Metering,Medium,Engine Position System Performance Bank 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P000A,A Camshaft Position Slow Response Bank 1,Fuel and Air Metering,Medium,A Camshaft Position Slow Response Bank 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P000B,B Camshaft Position Slow Response Bank 1,Fuel and Air Metering,Medium,B Camshaft Position Slow Response Bank 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P000C,A Camshaft Position Slow Response Bank 2,Fuel and Air Metering,Medium,A Camshaft Position Slow Response Bank 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P000D,B Camshaft Position Slow Response Bank 2,Fuel and Air Metering,Medium,B Camshaft Position Slow Response Bank 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P000E,Fuel Volume Regulator Control Exceeded Learning Limit,Fuel and Air Metering,Medium,Fuel Volume Regulator Control Exceeded Learning Limit,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P000F,Fuel System Over Pressure Relief Valve Activated,Fuel and Air Metering,High,Fuel System Over Pressure Relief Valve Activated,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0010,A Camshaft Position Actuator A Control Circuit/Open Bank 1,Fuel and Air Metering,Medium,A Camshaft Position Actuator A Control Circuit/Open Bank 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0011,A Camshaft Position - Timing Over-Advanced or System Performance Bank 1,Fuel and Air Metering,Medium,A Camshaft Position - Timing Over-Advanced or System Performance Bank 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0012,A Camshaft Position - Timing Over-Retarded Bank 1,Fuel and Air Metering,Medium,A Camshaft Position - Timing Over-Retarded Bank 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0013,B Camshaft Position Actuator A Control Circuit/Open Bank 1,Fuel and Air Metering,Medium,B Camshaft Position Actuator A Control Circuit/Open Bank 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0014,B Camshaft Position - Timing Over-Advanced or System Performance Bank 1,Fuel and Air Metering,Medium,B Camshaft Position - Timing Over-Advanced or System Performance Bank 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0015,B Camshaft Position - Timing Over-Retarded Bank 1,Fuel and Air Metering,Medium,B Camshaft Position - Timing Over-Retarded Bank 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0016,Crankshaft Position - Camshaft Position Correlation Bank 1 Sensor A,Fuel and Air Metering,Medium,Crankshaft Position - Camshaft Position Correlation Bank 1 Sensor A,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0017,Crankshaft Position - Camshaft Position Correlation Bank 1 Sensor B,Fuel and Air Metering,Medium,Crankshaft Position - Camshaft Position Correlation Bank 1 Sensor B,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0018,Crankshaft Position - Camshaft Position Correlation Bank 2 Sensor A,Fuel and Air Metering,Medium,Crankshaft Position - Camshaft Position Correlation Bank 2 Sensor A,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0019,Crankshaft Position - Camshaft Position Correlation Bank 2 Sensor B,Fuel and Air Metering,Medium,Crankshaft Position - Camshaft Position Correlation Bank 2 Sensor B,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P001A,A Camshaft Profile Actuator A Control Circuit/Open Bank 1,Fuel and Air Metering,Medium,A Camshaft Profile Actuator A Control Circuit/Open Bank 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P001B,A Camshaft Profile Actuator A Control Circuit Low Bank 1,Fuel and Air Metering,Medium,A Camshaft Profile Actuator A Control Circuit Low Bank 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P001C,A Camshaft Profile Actuator A Control Circuit High Bank 1,Fuel and Air Metering,Medium,A Camshaft Profile Actuator A Control Circuit High Bank 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P001D,A Camshaft Profile Actuator A Control Circuit/Open Bank 2,Fuel and Air Metering,Medium,A Camshaft Profile Actuator A Control Circuit/Open Bank 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P001E,A Camshaft Profile Actuator A Control Circuit Low Bank 2,Fuel and Air Metering,Medium,A Camshaft Profile Actuator A Control Circuit Low Bank 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P001F,A Camshaft Profile Actuator A Control Circuit High Bank 2,Fuel and Air Metering,Medium,A Camshaft Profile Actuator A Control Circuit High Bank 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0020,A Camshaft Position Actuator A Control Circuit/Open Bank 2,Fuel and Air Metering,Medium,A Camshaft Position Actuator A Control Circuit/Open Bank 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0021,A Camshaft Position - Timing Over-Advanced or System Performance Bank 2,Fuel and Air Metering,Medium,A Camshaft Position - Timing Over-Advanced or System Performance Bank 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0022,A Camshaft Position - Timing Over-Retarded Bank 2,Fuel and Air Metering,Medium,A Camshaft Position - Timing Over-Retarded Bank 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0023,B Camshaft Position Actuator A Control Circuit/Open Bank 2,Fuel and Air Metering,Medium,B Camshaft Position Actuator A Control Circuit/Open Bank 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0024,B Camshaft Position - Timing Over-Advanced or System Performance Bank 2,Fuel and Air Metering,Medium,B Camshaft Position - Timing Over-Advanced or System Performance Bank 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0025,B Camshaft Position - Timing Over-Retarded Bank 2,Fuel and Air Metering,Medium,B Camshaft Position - Timing Over-Retarded Bank 2,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0026,Intake Valve Control Solenoid Circuit Range/Performance Bank 1,Fuel and Air Metering,Medium,Intake Valve Control Solenoid Circuit Range/Performance Bank 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
P0027,Exhaust Valve Control Solenoid Circuit Range/Performance Bank 1,Fuel and Air Metering,Medium,Exhaust Valve Control Solenoid Circuit Range/Performance Bank 1,"Inspect fuel delivery, air metering sensors (MAF/MAP), and related wiring; test with a scan tool and repair or replace the faulty sensor, injector, or circuit."
