vehicle_model,mileage,maintenance_history,reported_issues,vehicle_age,fuel_type,transmission_type,engine_size,odometer_reading,last_service_date,warranty_expiry_date,owner_type,insurance_premium,service_history,accident_history,fuel_efficiency,tire_condition,brake_condition,battery_status,need_maintenance
Truck,58765,Good,0,4,Electric,Automatic,2000,28524,2023-11-23,2025-06-24,Second,20782,6,3,13.6222038,New,New,Weak,1
Van,60353,Average,1,7,Electric,Automatic,2500,133630,2023-09-21,2025-06-04,Second,23489,7,0,13.62530685,New,New,Weak,1
Bus,68072,Poor,0,2,Electric,Automatic,1500,34022,2023-06-27,2025-04-27,First,17979,7,0,14.30630236,New,Good,Weak,1
Bus,60849,Average,4,5,Petrol,Automatic,2500,81636,2023-08-24,2025-11-05,Second,6220,7,3,18.70946666,New,Worn Out,New,1
Bus,45742,Poor,5,1,Petrol,Manual,2000,97162,2023-05-25,2025-09-14,Third,16446,6,2,16.9774825,Good,Good,Weak,1
Truck,31653,Average,2,1,Diesel,Automatic,800,70954,2023-08-12,2024-09-05,Third,16813,5,3,15.95442206,Worn Out,Good,New,0
Motorcycle,51211,Average,2,8,Diesel,Automatic,2500,145563,2024-01-13,2025-07-20,Second,21057,10,0,16.45570318,New,Good,New,0
Van,79093,Poor,2,2,Petrol,Automatic,2000,132354,2023-05-12,2026-02-13,First,6498,3,1,12.12840374,Good,New,New,1
Suv,59673,Good,2,6,Electric,Manual,800,85733,2023-04-07,2025-04-21,First,12787,9,1,11.55802677,Worn Out,Good,Weak,1
Bus,37001,Good,2,9,Diesel,Automatic,1500,8554,2023-08-05,2025-05-14,Third,20860,9,1,12.78724818,Worn Out,New,New,0
Bus,49494,Average,5,10,Electric,Automatic,1000,51817,2023-11-08,2024-10-31,Third,27415,5,1,15.5443715,New,New,New,1
Car,71128,Poor,3,4,Petrol,Automatic,1000,35751,2023-07-03,2025-01-23,First,24050,6,1,16.38821978,Worn Out,New,Weak,1
Bus,61711,Poor,4,8,Petrol,Automatic,2000,118508,2024-02-19,2025-09-17,Third,11946,10,0,13.92594335,Worn Out,New,Weak,1
Car,37517,Good,4,3,Petrol,Manual,2500,64195,2023-04-11,2025-04-27,Third,25766,3,1,11.61351056,New,New,Good,1
Car,51152,Poor,5,6,Diesel,Manual,2500,36403,2023-05-07,2025-05-20,Second,22592,8,2,16.33998023,Worn Out,Good,New,1
Suv,61396,Poor,5,1,Petrol,Manual,1500,80856,2023-09-17,2025-10-03,Third,10096,4,3,10.07271196,Good,Worn Out,Weak,1
Bus,64440,Poor,0,7,Diesel,Manual,800,6493,2023-11-24,2024-10-07,First,28210,7,3,13.73612294,Worn Out,Good,New,0
Motorcycle,37956,Average,0,3,Electric,Automatic,1000,143432,2023-09-23,2025-08-11,Second,21658,3,3,10.00713008,Worn Out,New,New,0
Bus,44751,Poor,3,3,Diesel,Automatic,1000,7755,2024-01-23,2026-01-24,Second,29066,10,1,16.24308028,Good,Good,New,1
Bus,41951,Good,1,7,Petrol,Automatic,1000,104771,2023-06-15,2024-09-23,Third,14615,5,1,15.67909242,New,Worn Out,New,1
Motorcycle,45495,Poor,1,6,Diesel,Manual,800,88476,2023-11-24,2026-02-03,Second,19785,1,2,17.48108031,Worn Out,Good,Weak,1
Suv,63280,Average,3,2,Diesel,Automatic,800,28975,2023-07-14,2024-05-01,First,13081,6,0,10.7377029,Worn Out,Good,Good,1
Motorcycle,79936,Average,0,10,Electric,Automatic,1500,15052,2023-04-30,2025-10-12,First,23551,10,3,16.22524022,Worn Out,New,Weak,1
Bus,74528,Poor,1,7,Electric,Automatic,2000,108851,2023-06-12,2025-08-19,Second,21870,5,1,13.42715042,Worn Out,Good,New,0
Car,34005,Poor,0,2,Diesel,Manual,2500,71423,2023-12-10,2024-06-22,Second,10301,6,3,13.85904926,Good,Worn Out,Weak,1
Car,49957,Good,5,7,Electric,Automatic,800,42971,2023-10-25,2025-11-20,Third,27358,8,2,17.03695635,Worn Out,New,Good,1
Motorcycle,36652,Good,5,9,Electric,Automatic,2000,88775,2023-10-27,2025-02-17,Second,14164,9,0,19.18580254,Good,New,Weak,1
Motorcycle,49616,Good,4,2,Electric,Manual,1000,77128,2023-05-22,2025-12-08,Second,17547,8,1,19.33631707,Good,Worn Out,Weak,1
Suv,65381,Poor,1,8,Petrol,Manual,2500,141901,2023-12-22,2024-11-27,Second,26750,3,2,11.27652071,New,Good,Good,0
Suv,67982,Good,5,7,Diesel,Automatic,2500,149954,2023-09-04,2025-12-04,Third,12774,4,2,19.82641608,New,Good,Weak,1
Motorcycle,33189,Average,1,3,Petrol,Manual,1000,148440,2024-01-09,2025-05-23,First,16791,4,1,15.15413882,Good,Worn Out,Weak,1
Suv,33202,Poor,4,8,Petrol,Manual,800,12518,2023-06-29,2024-04-30,First,24729,2,3,11.91281596,Good,Worn Out,New,1
Motorcycle,32700,Good,5,4,Petrol,Manual,2500,87800,2023-11-19,2025-12-17,Third,14156,9,0,16.88097768,New,Good,New,1
Truck,37777,Poor,4,5,Electric,Automatic,800,127740,2023-08-19,2024-05-22,Second,8425,8,3,17.21332782,Worn Out,New,Good,1
Suv,66067,Good,1,9,Diesel,Manual,800,51222,2023-06-07,2024-12-25,First,24978,10,1,14.04652945,Good,New,New,0
Truck,55518,Poor,4,8,Diesel,Automatic,2000,19685,2023-12-31,2024-11-19,First,16488,2,3,16.3676973,New,Worn Out,Weak,1
Truck,48586,Average,2,10,Diesel,Manual,800,37758,2023-08-31,2025-09-29,Third,22244,10,2,16.36985783,Good,Good,New,1
Truck,43649,Poor,1,9,Petrol,Automatic,1000,17963,2023-06-29,2025-10-04,First,16252,4,3,17.98124935,New,New,Good,0
Truck,37573,Poor,1,9,Petrol,Manual,1500,134071,2024-02-11,2026-02-09,First,8033,3,3,13.50906245,Worn Out,New,Good,0
Suv,66627,Average,1,4,Petrol,Manual,1000,130759,2023-10-17,2025-02-07,First,28093,9,1,12.10655606,New,Worn Out,Good,1
Truck,74757,Good,3,3,Diesel,Manual,2000,133394,2024-02-16,2024-06-05,Third,10850,9,2,13.3398306,New,Worn Out,New,1
Motorcycle,64175,Good,5,9,Electric,Manual,2500,10469,2023-10-15,2024-10-24,Second,24608,2,2,13.18937865,New,New,Good,1
Motorcycle,77181,Poor,4,9,Petrol,Manual,1000,111257,2023-11-01,2025-04-21,First,24739,6,3,10.89005681,New,Worn Out,Weak,1
Truck,48812,Good,3,1,Electric,Manual,1500,72926,2023-08-20,2024-07-20,Second,8804,8,2,17.31056142,Good,New,Weak,1
Motorcycle,58511,Good,2,3,Electric,Automatic,1000,131090,2023-06-26,2025-03-24,Third,22436,7,0,10.35389868,Worn Out,Good,Weak,1
Motorcycle,73244,Good,5,5,Diesel,Automatic,2500,131324,2023-09-27,2024-07-02,Second,17615,6,1,18.15882275,Good,New,Weak,1
Car,72696,Average,2,2,Diesel,Manual,800,107864,2023-07-03,2025-08-05,First,27347,6,0,19.53658872,New,Good,Good,0
Truck,57809,Good,2,2,Diesel,Automatic,1500,138481,2023-12-31,2025-09-15,Second,22534,4,3,10.06108464,New,Worn Out,Good,1
Motorcycle,47601,Good,0,3,Petrol,Manual,800,79744,2023-11-06,2025-05-06,Third,10185,9,0,13.94104147,New,Worn Out,New,1
Motorcycle,31881,Good,4,2,Electric,Manual,2500,60539,2023-10-26,2025-05-10,Third,6583,4,0,12.018139,Good,Good,Good,1
Motorcycle,34015,Good,1,2,Electric,Manual,1000,113083,2023-05-30,2024-06-12,First,10680,10,1,19.24628989,Good,Good,Weak,1
