record_id,Vehicle_ID,vehicle_model,fuel_type,transmission_type,engine_size,owner_type,vehicle_age,vehicle_age_group,mileage,odometer_reading,average_annual_mileage,vehicle_usage_category,high_mileage_flag,last_service_date,warranty_expiry_date,days_since_last_service,warranty_status,warranty_remaining_days,service_delay_indicator,service_history,maintenance_frequency,maintenance_history,maintenance_history_score,tire_condition,tire_condition_score,tire_wear_risk,brake_condition,brake_condition_score,brake_wear_risk,battery_status,battery_status_score,engine_stress_ratio,engine_stress_level,reported_issues,accident_history,insurance_premium,fuel_efficiency,vehicle_health_score,vehicle_risk_score,maintenance_priority,predicted_failure_risk,need_maintenance
MREC000001,VEH0137,Truck,Electric,Automatic,2000,Second,4,Mid-Life (3-5 yrs),58765,28524,7131.0,Low,0,2023-11-23,2025-06-24,97,Active,482,0,6,1.5,Good,2,New,2,4.6,New,2,17.0,Weak,0,3.57,Low,0,3,20782,13.6222038,85.0,32.5,Low,25.5,1
MREC000002,VEH0170,Van,Electric,Automatic,2500,Second,7,Aging (6-8 yrs),60353,133630,19090.0,Medium,1,2023-09-21,2025-06-04,160,Active,462,0,7,1.0,Average,1,New,2,22.2,New,2,17.8,Weak,0,7.64,Medium,1,0,23489,13.62530685,71.0,32.1,Low,30.9,1
MREC000003,VEH0016,Bus,Electric,Automatic,1500,First,2,New (0-2 yrs),68072,34022,17011.0,Medium,0,2023-06-27,2025-04-27,246,Active,424,1,7,3.5,Poor,0,New,2,5.6,Good,1,37.8,Weak,0,11.34,Medium,0,0,17979,14.30630236,52.5,36.6,Low,41.0,1
MREC000004,VEH0029,Bus,Petrol,Automatic,2500,Second,5,Mid-Life (3-5 yrs),60849,81636,16327.2,Medium,0,2023-08-24,2025-11-05,188,Active,616,1,7,1.4,Average,1,New,2,13.5,Worn Out,0,90.8,New,2,6.53,Medium,4,3,6220,18.70946666,49.0,53.5,Medium,52.5,1
MREC000005,VEH0027,Bus,Petrol,Manual,2000,Third,1,New (0-2 yrs),45742,97162,97162.0,High,0,2023-05-25,2025-09-14,279,Active,564,1,6,6.0,Poor,0,Good,1,53.6,Good,1,55.1,Weak,0,48.58,High,5,2,16446,16.9774825,22.5,58.0,Medium,65.8,1
MREC000006,VEH0121,Truck,Diesel,Automatic,800,Third,1,New (0-2 yrs),31653,70954,70954.0,High,0,2023-08-12,2024-09-05,200,Active,190,1,5,5.0,Average,1,Worn Out,0,86.7,Good,1,56.1,New,2,88.69,High,2,3,16813,15.95442206,49.5,47.6,Medium,48.8,0
MREC000007,VEH0069,Motorcycle,Diesel,Automatic,2500,Second,8,Aging (6-8 yrs),51211,145563,18195.4,Medium,1,2024-01-13,2025-07-20,46,Active,508,0,10,1.25,Average,1,New,2,24.2,Good,1,52.7,New,2,7.28,Medium,2,0,21057,16.45570318,69.5,25.8,Low,27.7,0
MREC000008,VEH0178,Van,Petrol,Automatic,2000,First,2,New (0-2 yrs),79093,132354,66177.0,High,1,2023-05-12,2026-02-13,292,Active,716,1,3,1.5,Poor,0,Good,1,59.5,New,2,22.1,New,2,33.09,High,2,1,6498,12.12840374,62.0,41.8,Medium,40.3,1
MREC000009,VEH0102,SUV,Electric,Manual,800,First,6,Aging (6-8 yrs),59673,85733,14288.8,Medium,0,2023-04-07,2025-04-21,327,Active,418,1,9,1.5,Good,2,Worn Out,0,89.2,Good,1,49.2,Weak,0,17.86,High,2,1,12787,11.55802677,44.5,57.2,Medium,56.5,1
MREC000010,VEH0005,Bus,Diesel,Automatic,1500,Third,9,Old (9+ yrs),37001,8554,950.4,Low,0,2023-08-05,2025-05-14,207,Active,441,1,9,1.0,Good,2,Worn Out,0,76.3,New,2,5.5,New,2,0.63,Low,2,1,20860,12.78724818,72.0,43.6,Medium,37.4,0
